genre,year,0
R&B,1997,6
R&B,1998,44
R&B,2000,24
R&B,2001,42
R&B,2002,39
R&B,2003,4
R&B,2004,17
R&B,2008,17
R&B,2009,2
R&B,2010,11
R&B,2019,1
R&B,2020,1
Rap/Hip-Hop,1958,4
Rap/Hip-Hop,1959,82
Rap/Hip-Hop,1960,62
Rap/Hip-Hop,1961,31
Rap/Hip-Hop,1962,1
Rap/Hip-Hop,1963,27
Rap/Hip-Hop,1964,41
Rap/Hip-Hop,1965,1
Rap/Hip-Hop,1966,34
Rap/Hip-Hop,1967,86
Rap/Hip-Hop,1968,113
Rap/Hip-Hop,1969,114
Rap/Hip-Hop,1970,102
Rap/Hip-Hop,1971,169
Rap/Hip-Hop,1972,193
Rap/Hip-Hop,1973,134
Rap/Hip-Hop,1974,181
Rap/Hip-Hop,1975,164
Rap/Hip-Hop,1976,211
Rap/Hip-Hop,1977,235
Rap/Hip-Hop,1978,268
Rap/Hip-Hop,1979,336
Rap/Hip-Hop,1980,154
Rap/Hip-Hop,1981,149
Rap/Hip-Hop,1982,199
Rap/Hip-Hop,1983,239
Rap/Hip-Hop,1984,299
Rap/Hip-Hop,1985,305
Rap/Hip-Hop,1986,311
Rap/Hip-Hop,1987,457
Rap/Hip-Hop,1988,428
Rap/Hip-Hop,1989,510
Rap/Hip-Hop,1990,655
Rap/Hip-Hop,1991,505
Rap/Hip-Hop,1992,655
Rap/Hip-Hop,1993,922
Rap/Hip-Hop,1994,834
Rap/Hip-Hop,1995,797
Rap/Hip-Hop,1996,714
Rap/Hip-Hop,1997,667
Rap/Hip-Hop,1998,610
Rap/Hip-Hop,1999,327
Rap/Hip-Hop,2000,423
Rap/Hip-Hop,2001,483
Rap/Hip-Hop,2002,431
Rap/Hip-Hop,2003,522
Rap/Hip-Hop,2004,748
Rap/Hip-Hop,2005,493
Rap/Hip-Hop,2006,436
Rap/Hip-Hop,2007,403
Rap/Hip-Hop,2008,265
Rap/Hip-Hop,2009,338
Rap/Hip-Hop,2010,437
Rap/Hip-Hop,2011,406
Rap/Hip-Hop,2012,329
Rap/Hip-Hop,2013,435
Rap/Hip-Hop,2014,258
Rap/Hip-Hop,2015,671
Rap/Hip-Hop,2016,936
Rap/Hip-Hop,2017,918
Rap/Hip-Hop,2018,1204
Rap/Hip-Hop,2019,916
Rap/Hip-Hop,2020,984
Rap/Hip-Hop,2021,140
Rock,1958,35
Rock,1959,84
Rock,1960,19
Rock,1961,23
Rock,1962,60
Rock,1963,144
Rock,1964,314
Rock,1965,458
Rock,1966,709
Rock,1967,772
Rock,1968,685
Rock,1969,874
Rock,1970,1065
Rock,1971,1074
Rock,1972,1279
Rock,1973,1139
Rock,1974,1257
Rock,1975,1090
Rock,1976,1324
Rock,1977,1453
Rock,1978,1652
Rock,1979,1660
Rock,1980,1806
Rock,1981,1887
Rock,1982,1791
Rock,1983,1669
Rock,1984,1538
Rock,1985,1329
Rock,1986,1311
Rock,1987,1237
Rock,1988,1412
Rock,1989,1142
Rock,1990,1087
Rock,1991,809
Rock,1992,742
Rock,1993,622
Rock,1994,591
Rock,1995,295
Rock,1996,284
Rock,1997,328
Rock,1998,236
Rock,1999,278
Rock,2000,411
Rock,2001,334
Rock,2002,303
Rock,2003,231
Rock,2004,213
Rock,2005,317
Rock,2006,220
Rock,2007,184
Rock,2008,135
Rock,2009,152
Rock,2010,89
Rock,2011,100
Rock,2012,119
Rock,2013,164
Rock,2014,165
Rock,2015,76
Rock,2016,146
Rock,2017,148
Rock,2018,120
Rock,2019,19
Rock,2020,65
Rock,2021,16
Rock and Roll,1958,158
Rock and Roll,1959,232
Rock and Roll,1960,286
Rock and Roll,1961,155
Rock and Roll,1962,146
Rock and Roll,1963,35
Rock and Roll,1964,63
Rock and Roll,1965,64
Rock and Roll,1966,49
Rock and Roll,1967,31
Rock and Roll,1968,49
Rock and Roll,1969,62
Rock and Roll,1970,53
Rock and Roll,1971,37
Rock and Roll,1972,37
Rock and Roll,1973,61
Rock and Roll,1974,98
Rock and Roll,1975,56
Rock and Roll,1976,22
Rock and Roll,1977,41
Rock and Roll,1978,4
Rock and Roll,1980,13
Rock and Roll,1981,18
Rock and Roll,1982,21
Rock and Roll,1983,51
Rock and Roll,1984,8
Rock and Roll,2003,2
Rock and Roll,2019,1
Rock and Roll,2020,1
Rock and Roll,2021,1
Ska/Reggae/Danceball,1959,18
Ska/Reggae/Danceball,1963,12
Ska/Reggae/Danceball,1964,29
Ska/Reggae/Danceball,1967,4
Ska/Reggae/Danceball,1969,14
Ska/Reggae/Danceball,1970,10
Ska/Reggae/Danceball,1971,15
Ska/Reggae/Danceball,1972,12
Ska/Reggae/Danceball,1976,14
Ska/Reggae/Danceball,1977,3
Ska/Reggae/Danceball,1978,4
Ska/Reggae/Danceball,1982,3
Ska/Reggae/Danceball,1983,44
Ska/Reggae/Danceball,1984,39
Ska/Reggae/Danceball,1985,14
Ska/Reggae/Danceball,1988,44
Ska/Reggae/Danceball,1989,21
Ska/Reggae/Danceball,1990,57
Ska/Reggae/Danceball,1991,55
Ska/Reggae/Danceball,1992,28
Ska/Reggae/Danceball,1993,112
Ska/Reggae/Danceball,1994,108
Ska/Reggae/Danceball,1995,94
Ska/Reggae/Danceball,1996,10
Ska/Reggae/Danceball,1997,25
Ska/Reggae/Danceball,1998,48
Ska/Reggae/Danceball,2005,13
Ska/Reggae/Danceball,2006,14
Ska/Reggae/Danceball,2009,1
Ska/Reggae/Danceball,2010,27
Ska/Reggae/Danceball,2015,11
Ska/Reggae/Danceball,2016,4
Ska/Reggae/Danceball,2017,20
Ska/Reggae/Danceball,2019,48
Ska/Reggae/Danceball,2020,27
Ska/Reggae/Danceball,2021,14
Soul,1958,4
Soul,1959,12
Soul,1960,106
Soul,1961,161
