,date,rank,song,artist,last-week,peak-rank,weeks-on-board,genre
25,1958-08-04,26,Born Too Late,Poni-Tails,,26,1,"['classic girl group', 'deep adult standards', 'doo-wop', 'vocal harmony group']"
26,1958-08-04,27,Think It Over,The Crickets,,27,1,[]
27,1958-08-04,28,Secretly,Jimmie Rodgers,,28,1,"['brill building pop', 'yodeling']"
28,1958-08-04,29,Enchanted Island,The Four Lads,,29,1,"['adult standards', 'deep adult standards', 'vocal harmony group']"
29,1958-08-04,30,Angel Baby,Dean Martin,,30,1,"['adult standards', 'easy listening', 'lounge']"
30,1958-08-04,31,Chantilly Lace,Big Bopper,,31,1,"['rock-and-roll', 'rockabilly']"
31,1958-08-04,32,Blue Blue Day,Don Gibson,,32,1,"['nashville sound', 'rock-and-roll', 'rockabilly']"
32,1958-08-04,33,The Freeze,Tony And Joe,,33,1,['soundtrack']
33,1958-08-04,34,Don't Ask Me Why,Elvis Presley With The Jordanaires,,34,1,"['adult standards', 'rock-and-roll', 'rockabilly']"
34,1958-08-04,35,Rock-in Robin,Bobby Day,,35,1,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
35,1958-08-04,36,"No Chemise, Please",Gerry Granahan,,36,1,[]
36,1958-08-04,37,Moon Talk,Perry Como,,37,1,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
37,1958-08-04,38,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,,38,1,[]
38,1958-08-04,39,That's How Much I Love You,Pat Boone,,39,1,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']"
39,1958-08-04,40,Crazy Eyes For You,Bobby Hamilton,,40,1,[]
40,1958-08-04,41,Early In The Morning,Buddy Holly,,41,1,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'pop rock', 'rock']"
41,1958-08-04,42,You Cheated,The Slades,,42,1,[]
42,1958-08-04,43,Come What May,Clyde McPhatter,,43,1,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'swamp pop']"
43,1958-08-04,44,Jennie Lee,Jan & Arnie,,44,1,"['cartoon', ""children's music"", ""preschool children's music"", 'sesame street']"
44,1958-08-04,45,Kathy-O,The Diamonds,,45,1,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
